cluster	gene	probability
1	ENSDARG00000074169	0.6530
1	ENSDARG00000074216	0.3836
1	ENSDARG00000074233	0.6553
1	ENSDARG00000074235	0.7715
1	ENSDARG00000074287	0.2188
1	ENSDARG00000074319	0.8002
1	ENSDARG00000074363	0.7606
1	ENSDARG00000074390	0.1560
1	ENSDARG00000074425	0.6942
1	ENSDARG00000074480	0.5069
1	ENSDARG00000074561	0.1285
1	ENSDARG00000074690	0.7578
1	ENSDARG00000074726	0.8006
1	ENSDARG00000074772	0.7923
1	ENSDARG00000075054	0.7319
1	ENSDARG00000075057	0.3998
1	ENSDARG00000075121	0.8008
1	ENSDARG00000075263	0.7504
1	ENSDARG00000075264	0.3354
1	ENSDARG00000075333	0.7602
1	ENSDARG00000075382	0.7848
1	ENSDARG00000075385	0.7487
1	ENSDARG00000075450	0.5786
1	ENSDARG00000075513	0.3046
1	ENSDARG00000075561	0.6269
1	ENSDARG00000075833	0.7722
1	ENSDARG00000075858	0.5416
1	ENSDARG00000075859	0.7726
1	ENSDARG00000075884	0.7915
1	ENSDARG00000075891	0.8039
1	ENSDARG00000076011	0.6621
1	ENSDARG00000076056	0.3892
1	ENSDARG00000076058	0.7765
1	ENSDARG00000076090	0.1553
1	ENSDARG00000076251	0.7793
1	ENSDARG00000076309	0.8102
1	ENSDARG00000076318	0.6766
1	ENSDARG00000076320	0.7831
1	ENSDARG00000076435	0.7572
1	ENSDARG00000076620	0.4955
1	ENSDARG00000076622	0.7103
1	ENSDARG00000076685	0.7443
1	ENSDARG00000076702	0.7673
1	ENSDARG00000076748	0.4752
1	ENSDARG00000076826	0.8046
1	ENSDARG00000076848	0.5656
1	ENSDARG00000076862	0.8002
1	ENSDARG00000076891	0.7149
1	ENSDARG00000076899	0.2865
1	ENSDARG00000076996	0.6220
1	ENSDARG00000077069	0.7912
1	ENSDARG00000077121	0.8145
1	ENSDARG00000077169	0.6799
1	ENSDARG00000077188	0.7388
1	ENSDARG00000077414	0.5591
1	ENSDARG00000077428	0.7103
1	ENSDARG00000077468	0.7565
1	ENSDARG00000077504	0.5436
1	ENSDARG00000077547	0.7949
1	ENSDARG00000077588	0.3201
1	ENSDARG00000077605	0.5351
1	ENSDARG00000077609	0.7577
1	ENSDARG00000077715	0.7947
1	ENSDARG00000077728	0.6249
1	ENSDARG00000077775	0.8056
1	ENSDARG00000077812	0.2804
1	ENSDARG00000077839	0.7229
1	ENSDARG00000077863	0.1030
1	ENSDARG00000077864	0.6315
1	ENSDARG00000077946	0.7921
1	ENSDARG00000078163	0.1639
1	ENSDARG00000078169	0.1177
1	ENSDARG00000078185	0.6622
1	ENSDARG00000078217	0.4151
1	ENSDARG00000078227	0.1294
1	ENSDARG00000078251	0.3069
1	ENSDARG00000078317	0.5626
1	ENSDARG00000078324	0.8193
1	ENSDARG00000078440	0.2308
1	ENSDARG00000078560	0.3015
1	ENSDARG00000078657	0.7406
1	ENSDARG00000078768	0.6279
1	ENSDARG00000078866	0.8005
1	ENSDARG00000078868	0.3558
1	ENSDARG00000078875	0.3203
1	ENSDARG00000078912	0.7745
1	ENSDARG00000079158	0.7976
1	ENSDARG00000079199	0.6382
1	ENSDARG00000079201	0.7569
1	ENSDARG00000079219	0.1728
1	ENSDARG00000079227	0.3751
1	ENSDARG00000079296	0.7395
1	ENSDARG00000079302	0.6418
1	ENSDARG00000079307	0.6927
1	ENSDARG00000079308	0.7897
1	ENSDARG00000079369	0.7369
1	ENSDARG00000079455	0.5190
1	ENSDARG00000079516	0.6484
1	ENSDARG00000079542	0.8008
1	ENSDARG00000079570	0.5281
1	ENSDARG00000079588	0.7731
1	ENSDARG00000079618	0.7589
1	ENSDARG00000079645	0.2365
1	ENSDARG00000079672	0.6524
1	ENSDARG00000079858	0.8068
1	ENSDARG00000079884	0.7834
1	ENSDARG00000079931	0.7968
1	ENSDARG00000080010	0.7316
1	ENSDARG00000080238	0.5453
1	ENSDARG00000080484	0.3723
1	ENSDARG00000081350	0.8001
1	ENSDARG00000083312	0.7812
1	ENSDARG00000084957	0.6590
1	ENSDARG00000086037	0.6354
1	ENSDARG00000086056	0.7030
1	ENSDARG00000086091	0.8026
1	ENSDARG00000086103	0.2786
1	ENSDARG00000086107	0.6627
1	ENSDARG00000086173	0.6778
1	ENSDARG00000086288	0.7456
1	ENSDARG00000086342	0.4647
1	ENSDARG00000086529	0.7543
1	ENSDARG00000086612	0.7541
1	ENSDARG00000086669	0.4131
1	ENSDARG00000086775	0.7999
1	ENSDARG00000086808	0.7877
1	ENSDARG00000086825	0.6006
1	ENSDARG00000086877	0.7145
1	ENSDARG00000086917	0.7228
1	ENSDARG00000087180	0.7536
1	ENSDARG00000087186	0.7978
1	ENSDARG00000087260	0.6349
1	ENSDARG00000087318	0.4139
1	ENSDARG00000087327	0.5971
1	ENSDARG00000087373	0.7979
1	ENSDARG00000087390	0.7804
1	ENSDARG00000087456	0.1382
1	ENSDARG00000087625	0.5687
1	ENSDARG00000087749	0.8006
1	ENSDARG00000087762	0.5223
1	ENSDARG00000087921	0.6954
1	ENSDARG00000087941	0.4902
1	ENSDARG00000088073	0.6598
1	ENSDARG00000088227	0.8011
1	ENSDARG00000088639	0.8009
1	ENSDARG00000088708	0.8010
1	ENSDARG00000088727	0.0699
1	ENSDARG00000088842	0.7664
1	ENSDARG00000088900	0.7600
1	ENSDARG00000088937	0.7134
1	ENSDARG00000089066	0.7147
1	ENSDARG00000089078	0.8053
1	ENSDARG00000089156	0.7983
1	ENSDARG00000089179	0.7898
1	ENSDARG00000089213	0.7731
1	ENSDARG00000089368	0.5434
1	ENSDARG00000089418	0.8177
1	ENSDARG00000089536	0.8099
1	ENSDARG00000089717	0.7451
1	ENSDARG00000089795	0.6523
1	ENSDARG00000089833	0.5333
1	ENSDARG00000089883	0.8047
1	ENSDARG00000089914	0.7663
1	ENSDARG00000090013	0.7917
1	ENSDARG00000090036	0.7909
1	ENSDARG00000090145	0.7311
1	ENSDARG00000090193	0.7920
1	ENSDARG00000090292	0.8118
1	ENSDARG00000090340	0.7858
1	ENSDARG00000090401	0.3577
1	ENSDARG00000090408	0.8073
1	ENSDARG00000090548	0.6844
1	ENSDARG00000090861	0.4062
1	ENSDARG00000090988	0.7433
1	ENSDARG00000091058	0.6826
1	ENSDARG00000091348	0.7055
1	ENSDARG00000091625	0.1769
1	ENSDARG00000091757	0.7943
1	ENSDARG00000091847	0.4273
1	ENSDARG00000091917	0.6543
1	ENSDARG00000092071	0.1987
1	ENSDARG00000092112	0.1939
1	ENSDARG00000092124	0.1494
1	ENSDARG00000092151	0.2405
1	ENSDARG00000092240	0.4136
1	ENSDARG00000092394	0.8084
1	ENSDARG00000092443	0.3368
1	ENSDARG00000092576	0.7682
1	ENSDARG00000092731	0.1348
